Country/Region,2020-03-30,2020-03-29,2020-03-28,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-08,2020-03-07,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-03-01,2020-02-29,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-23,2020-02-22,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-17,2020-02-16,2020-02-15,2020-02-14,2020-02-13,2020-02-12,2020-02-11,2020-02-10,2020-02-09,2020-02-08,2020-02-07,2020-02-06,2020-02-05,2020-02-04,2020-02-03,2020-02-02,2020-02-01,2020-01-31,2020-01-30,2020-01-29,2020-01-28,2020-01-27,2020-01-26,2020-01-25,2020-01-24,2020-01-23,2020-01-22
US,153185,135754,118380,99207,81946,64475,52686,43112,32681,25006,18709,13356,7560,6296,4530,3424,2661,2120,1611,1237,923,554,490,378,241,198,131,104,85,66,60,53,52,51,45,46,10,10,10,10,10,10,10,10,10,10,10,9,9,8,8,11,11,11,11,11,11,8,8,7,5,5,5,5,5,2,2,1,1
Italy,75528,73880,70065,66414,62013,57521,54030,50826,46638,42681,38549,33190,28710,26062,23073,20603,17750,14955,10590,10590,8794,7985,6387,5061,3916,3296,2706,2263,1835,1577,1053,821,593,438,311,221,150,59,19,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
Spain,63460,58598,54968,51224,46406,40501,33283,30250,24421,21874,17779,16026,12206,10187,9070,6992,5679,4906,2039,2040,1628,1013,626,460,393,254,218,162,118,82,43,30,13,11,4,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Germany,52740,52351,48781,43871,37998,33570,29586,28667,24513,21896,19601,15163,12194,9166,7188,5738,4530,3622,2050,1880,1437,1156,1022,781,653,466,246,180,143,114,63,32,30,12,3,2,2,2,2,4,4,4,15,15,15,15,15,16,16,14,14,13,13,12,12,12,12,10,8,5,4,4,4,1,0,0,0,0,0
France,34176,30871,30064,25698,22898,20360,18270,17055,13361,13888,12295,10714,8963,7554,6522,4429,4393,3590,2233,2233,1749,1188,1105,936,635,362,272,188,176,116,86,44,25,5,2,7,7,7,7,7,7,7,7,7,7,9,9,9,11,11,11,11,6,6,6,6,6,6,6,5,5,5,4,3,3,3,2,0,0
Iran,24827,23278,21212,18821,16715,15315,13964,13306,12022,11419,11466,11413,10837,9792,9548,8624,9159,7891,6687,5687,5020,4530,4238,4009,3710,2667,2278,1968,1144,749,427,281,170,71,79,49,35,23,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,20871,18398,16140,13833,11082,9034,7601,6323,5396,4766,3769,2511,2503,1851,1474,1105,1104,775,432,432,359,300,253,187,154,107,78,43,32,28,15,12,7,5,5,5,1,1,1,1,1,1,1,1,8,8,8,8,8,8,3,3,3,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
Switzerland,13740,12934,12282,11167,11489,10613,9624,8544,7245,6485,5225,4019,2985,2669,2182,2182,1342,1124,644,644,485,369,332,264,210,110,87,54,42,27,18,8,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,10699,9905,9173,8094,7027,6077,5300,4548,4035,3501,2894,2388,1998,1666,1390,1116,948,796,498,498,378,318,262,187,127,82,38,24,18,10,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,10497,8981,7224,5564,3528,2348,1828,1492,1206,661,355,189,97,46,18,6,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
