,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30
タイ,177.0,212.0,322.0,322.0,411.0,599.0,721.0,827.0,934.0,1045.0,1136.0,1136.0,1388.0,1524.0
日本,829.0,873.0,950.0,996.0,1046.0,1046.0,1089.0,1128.0,1193.0,1291.0,1387.0,1499.0,1693.0,1866.0
韓国,8320.0,8413.0,8652.0,8799.0,8897.0,8897.0,8961.0,9037.0,9137.0,9241.0,9332.0,9478.0,9583.0,9661.0
ベトナム,61.0,66.0,85.0,91.0,94.0,94.0,118.0,123.0,134.0,148.0,153.0,169.0,179.0,194.0
シンガポール,243.0,313.0,345.0,385.0,432.0,432.0,455.0,507.0,558.0,631.0,683.0,732.0,802.0,844.0
ネパール,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0
フランス,6573.0,7652.0,10877.0,12475.0,14296.0,14296.0,15821.0,19615.0,22025.0,24920.0,28786.0,32542.0,37145.0,39642.0
マレーシア,553.0,673.0,900.0,1030.0,1183.0,1183.0,1306.0,1518.0,1796.0,1796.0,2031.0,2161.0,2320.0,2470.0
オーストラリア,375.0,510.0,709.0,873.0,1081.0,1098.0,1709.0,2136.0,2423.0,2799.0,2985.0,3635.0,3966.0,4245.0
カナダ,424.0,569.0,736.0,846.0,1048.0,1048.0,1384.0,1432.0,1739.0,3409.0,3555.0,4018.0,4757.0,5655.0
ドイツ,6012.0,8198.0,10999.0,18323.0,21463.0,21463.0,24774.0,29212.0,31554.0,36508.0,42288.0,48582.0,52547.0,57298.0
カンボジア,24.0,35.0,47.0,51.0,53.0,53.0,86.0,87.0,91.0,96.0,98.0,104.0,102.0,107.0
スリランカ,29.0,42.0,59.0,59.0,72.0,72.0,94.0,97.0,102.0,102.0,106.0,106.0,115.0,120.0
コソボ,,,,,,24.0,31.0,61.0,63.0,71.0,79.0,88.0,91.0,94.0
