Country/Region,2020-03-31,2020-03-30,2020-03-29,2020-03-28,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-08,2020-03-07,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-03-01,2020-02-29,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-23,2020-02-22,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-17,2020-02-16,2020-02-15,2020-02-14,2020-02-13,2020-02-12,2020-02-11,2020-02-10,2020-02-09,2020-02-08,2020-02-07,2020-02-06,2020-02-05,2020-02-04,2020-02-03,2020-02-02,2020-02-01,2020-01-31,2020-01-30,2020-01-29,2020-01-28,2020-01-27,2020-01-26,2020-01-25,2020-01-24,2020-01-23,2020-01-22
US,24090.0,17431.0,17374.0,19173.0,17261.0,17471.0,11789.0,9574.0,10431.0,7675.0,6297.0,5353.0,5796.0,1264.0,1766.0,1106.0,763.0,541.0,509.0,374.0,314.0,369.0,64.0,112.0,137.0,43.0,67.0,27.0,19.0,19.0,6.0,7.0,1.0,1.0,6.0,-1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,
France,5606.0,3305.0,807.0,4366.0,2800.0,2538.0,2090.0,1215.0,3694.0,-527.0,1593.0,1581.0,1751.0,1409.0,1032.0,2093.0,36.0,803.0,1357.0,0.0,484.0,561.0,83.0,169.0,301.0,273.0,90.0,84.0,12.0,60.0,30.0,42.0,19.0,20.0,3.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,
Spain,4740.0,4862.0,3630.0,3744.0,4818.0,5905.0,7218.0,3033.0,5829.0,2547.0,4095.0,1753.0,3820.0,2019.0,1117.0,2078.0,1313.0,773.0,2867.0,-1.0,412.0,615.0,387.0,166.0,67.0,139.0,36.0,56.0,44.0,36.0,39.0,13.0,17.0,2.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
United Kingdom,2638.0,2473.0,2258.0,2307.0,2751.0,2048.0,1433.0,1278.0,927.0,630.0,997.0,1258.0,8.0,652.0,377.0,369.0,1.0,329.0,343.0,0.0,73.0,59.0,47.0,66.0,33.0,47.0,29.0,35.0,11.0,4.0,13.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Turkey,2577.0,1516.0,1757.0,1660.0,2036.0,1180.0,520.0,336.0,286.0,545.0,306.0,166.0,92.0,51.0,28.0,12.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Iran,2224.0,1549.0,2066.0,2391.0,2106.0,1400.0,1351.0,658.0,1284.0,603.0,-47.0,53.0,576.0,1045.0,244.0,924.0,-535.0,1268.0,1204.0,1000.0,667.0,490.0,292.0,229.0,299.0,1043.0,389.0,310.0,824.0,395.0,322.0,146.0,111.0,99.0,-8.0,30.0,14.0,12.0,9.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Germany,2193.0,389.0,3570.0,4910.0,5873.0,4428.0,3984.0,919.0,4154.0,2617.0,2295.0,4438.0,2969.0,3028.0,1978.0,1450.0,1208.0,908.0,1572.0,170.0,443.0,281.0,134.0,241.0,128.0,187.0,220.0,66.0,37.0,29.0,51.0,31.0,2.0,18.0,9.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,-11.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,
Italy,2107.0,1648.0,3815.0,3651.0,4401.0,4492.0,3491.0,3204.0,4188.0,3957.0,4132.0,5359.0,4480.0,2648.0,2989.0,2470.0,2853.0,2795.0,4365.0,0.0,1796.0,809.0,1598.0,1326.0,1145.0,620.0,590.0,443.0,428.0,258.0,524.0,232.0,228.0,155.0,127.0,90.0,71.0,91.0,40.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Brazil,1089.0,186.0,327.0,468.0,417.0,409.0,294.0,311.0,369.0,515.0,224.0,167.0,246.0,49.0,119.0,37.0,11.0,0.0,99.0,14.0,7.0,6.0,5.0,7.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Portugal,1015.0,425.0,773.0,878.0,708.0,511.0,623.0,275.0,451.0,318.0,254.0,230.0,336.0,-1.0,116.0,85.0,76.0,56.0,52.0,0.0,18.0,11.0,0.0,10.0,7.0,5.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
