Country/Region,2020-03-31,2020-03-30,2020-03-29,2020-03-28,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-08,2020-03-07,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-03-01,2020-02-29,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-23,2020-02-22,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-17,2020-02-16,2020-02-15,2020-02-14,2020-02-13,2020-02-12,2020-02-11,2020-02-10,2020-02-09,2020-02-08,2020-02-07,2020-02-06,2020-02-05,2020-02-04,2020-02-03,2020-02-02,2020-02-01,2020-01-31,2020-01-30,2020-01-29,2020-01-28,2020-01-27,2020-01-26,2020-01-25,2020-01-24,2020-01-23,2020-01-22
US,188172,161807,140886,121478,101657,83836,65778,53740,43847,33276,25489,19100,13677,7783,6421,4632,3499,2727,2179,1663,1281,959,583,518,402,262,217,149,118,98,74,68,60,58,57,51,51,15,15,15,13,13,13,13,13,13,13,13,12,12,11,11,11,11,11,11,11,11,8,8,7,5,5,5,5,5,2,2,1,1
Italy,105792,101739,97689,92472,86498,80589,74386,69176,63927,59138,53578,47021,41035,35713,31506,27980,24747,21157,17660,12462,12462,10149,9172,7375,5883,4636,3858,3089,2502,2036,1694,1128,888,655,453,322,229,155,62,20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
Spain,95923,87956,80110,73235,65719,57786,49515,39885,35136,28768,25374,20410,17963,13910,11748,9942,7798,6391,5232,2277,2277,1695,1073,673,500,400,259,222,165,120,84,45,32,15,13,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
China,82279,82198,82122,81999,81897,81782,81661,81591,81498,81435,81305,81250,81156,81102,81058,81033,81003,80977,80945,80932,80921,80887,80860,80823,80770,80690,80537,80386,80261,80136,79932,79356,78928,78600,78166,77754,77241,77022,77001,75550,75077,74619,74211,72434,70513,68413,66358,59895,44759,44386,42354,39829,36814,34110,30587,27440,23707,19716,16630,11891,9802,8141,6087,5509,2877,2075,1406,920,643,548
Germany,71808,66885,62095,57695,50871,43938,37323,32986,29056,24873,22213,19848,15320,12327,9257,7272,5795,4585,3675,2078,1908,1457,1176,1040,799,670,482,262,196,159,130,79,48,46,27,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,13,13,12,12,12,12,10,8,5,4,4,4,1,0,0,0,0,0
France,52827,45170,40708,38105,33402,29551,25600,22622,20123,16243,14463,12758,10970,9124,7715,6683,4532,4496,3681,2293,2293,1794,1219,1136,959,656,380,288,204,191,130,100,57,38,18,14,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,6,6,6,6,6,6,6,5,5,5,4,3,3,3,2,0,0
Iran,44605,41495,38309,35408,32332,29406,27017,24811,23049,21638,20610,19644,18407,17361,16169,14991,13938,12729,11364,10075,9000,8042,7161,6566,5823,4747,3513,2922,2336,1501,978,593,388,245,139,95,61,43,28,18,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,25481,22453,19780,17312,14745,11812,9640,8164,6726,5745,5067,4014,2716,2642,1960,1551,1145,1144,802,459,459,384,322,274,207,164,116,86,51,40,36,23,20,15,13,13,13,9,9,9,9,9,9,9,9,9,9,9,9,8,8,3,3,3,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
Switzerland,16605,15922,14829,14076,12928,11811,10897,9877,8795,7474,6575,5294,4075,3028,2700,2200,2200,1359,1139,652,652,491,374,337,268,214,114,90,56,42,27,18,8,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,13531,10827,9217,7402,5698,3629,2433,1872,1529,1236,670,359,192,98,47,18,6,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
