Country/Region,2020-03-31,2020-03-30,2020-03-29,2020-03-28,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-08,2020-03-07,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-03-01,2020-02-29,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-23,2020-02-22,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-17,2020-02-16,2020-02-15,2020-02-14,2020-02-13,2020-02-12,2020-02-11,2020-02-10,2020-02-09,2020-02-08,2020-02-07,2020-02-06,2020-02-05,2020-02-04,2020-02-03,2020-02-02,2020-02-01,2020-01-31,2020-01-30,2020-01-29,2020-01-28,2020-01-27,2020-01-26,2020-01-25,2020-01-24,2020-01-23,2020-01-22
Italy,12428,11591,10779,10023,9134,8215,7503,6820,6077,5476,4825,4032,3405,2978,2503,2158,1809,1441,1266,827,827,631,463,366,233,197,148,107,79,52,34,29,21,17,12,10,7,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,8464,7716,6803,5982,5138,4365,3647,2808,2311,1772,1375,1043,830,623,533,342,289,195,133,55,54,35,28,17,10,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,3873,2978,2467,2026,1581,1209,942,706,557,417,307,244,200,118,108,85,63,54,47,40,36,28,22,21,17,14,12,11,7,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,3532,3030,2611,2317,1997,1698,1333,1102,862,676,563,451,244,149,149,149,91,91,79,48,48,33,19,19,11,9,6,4,4,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,3305,3304,3300,3295,3292,3287,3281,3277,3270,3270,3255,3249,3245,3237,3226,3213,3199,3189,3176,3169,3158,3136,3120,3097,3070,3042,3013,2981,2945,2912,2870,2835,2788,2744,2715,2663,2593,2443,2441,2236,2236,2114,2002,1863,1765,1662,1520,1368,1116,1111,1011,904,804,717,632,562,490,425,361,259,213,171,133,131,82,56,42,26,18,17
Iran,2898,2757,2640,2517,2378,2234,2077,1934,1812,1685,1556,1433,1284,1135,988,853,724,611,514,429,354,291,237,194,145,124,107,92,77,66,54,43,34,26,19,16,12,8,5,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,1793,1411,1231,1021,761,580,466,423,336,282,234,178,138,72,56,56,21,21,8,8,8,6,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,1040,865,772,640,547,435,357,277,214,180,137,107,77,58,43,24,20,12,10,5,5,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,775,645,533,433,342,267,206,157,123,94,84,67,44,28,24,17,11,9,7,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,705,513,431,353,289,220,178,122,88,75,67,37,21,14,10,5,4,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,433,359,300,264,231,191,153,122,120,98,75,54,41,28,27,14,14,13,11,4,4,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,214,168,131,108,92,75,59,44,37,30,9,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,201,159,136,111,92,77,59,46,34,25,15,11,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
