Country/Region,2020-03-31,2020-03-30,2020-03-29,2020-03-28,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-08,2020-03-07,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-03-01,2020-02-29,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-23,2020-02-22,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-17,2020-02-16,2020-02-15,2020-02-14,2020-02-13,2020-02-12,2020-02-11,2020-02-10,2020-02-09,2020-02-08,2020-02-07,2020-02-06,2020-02-05,2020-02-04,2020-02-03,2020-02-02,2020-02-01,2020-01-31,2020-01-30,2020-01-29,2020-01-28,2020-01-27,2020-01-26,2020-01-25,2020-01-24,2020-01-23,2020-01-22
China,76068,75790,75460,74978,74600,74061,73661,73169,72704,72252,71749,71158,70430,69653,68700,67816,66926,65572,64109,62824,61569,60106,58735,57320,55478,53888,52240,49955,47404,44810,42118,39279,36291,32898,30053,27650,24990,23170,22687,18693,18002,15952,14199,12455,10748,9294,7973,6213,5079,4635,3917,3218,2595,1998,1476,1115,843,614,463,275,214,135,120,101,58,49,39,36,30,28
Spain,19259,16780,14709,12285,9357,7015,5367,3794,2575,2575,2125,1588,1107,1081,1028,530,517,517,193,183,183,32,32,30,30,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,16100,13500,9211,8481,6658,5673,3547,3243,266,266,233,180,113,105,67,67,46,46,46,25,25,18,18,18,18,17,16,16,16,16,16,16,16,16,15,14,14,14,14,14,12,12,12,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,15729,14620,13030,12384,10950,10361,9362,8326,7024,7024,6072,4440,4440,4025,2941,2749,2335,1966,1439,1045,1045,724,724,622,589,523,414,276,160,149,83,46,46,45,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran,14656,13911,12391,11679,11133,10457,9625,8913,7931,7931,7635,6745,5710,5389,5389,4590,4590,2959,2959,2959,2959,2731,2394,2134,1669,913,739,552,291,291,175,123,73,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,9513,7964,7226,5724,5707,4955,3907,3250,2206,2206,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,4,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US,7024,5644,2665,1072,869,681,361,348,178,178,176,147,121,105,17,17,12,12,12,12,8,8,7,7,7,7,7,7,7,7,7,7,7,6,6,6,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, South",5408,5228,5033,4811,4528,4144,3730,3507,2909,2909,1540,1540,1540,1540,1407,1137,510,510,510,333,288,247,118,118,135,135,41,41,30,30,30,27,22,22,22,22,18,18,16,16,16,12,12,10,9,9,7,7,7,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,1823,1823,1595,1530,1530,131,131,131,131,131,15,15,15,15,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,1696,1527,1359,1063,858,675,547,461,263,263,263,1,31,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
