,confirmed,deaths,recovered,active,new cases,new deaths,new recovered,active change
2020-04-02,1013157,52983,210263,749911,80552,6174,17086,57292
2020-04-01,932605,46809,193177,692619,75118,4702,15143,55273
2020-03-31,857487,42107,178034,637346,75122,4525,13468,57129
2020-03-30,782365,37582,164566,580217,62248,3657,15484,43107
2020-03-29,720117,33925,149082,537110,59411,3273,9667,46471
2020-03-28,660706,30652,139415,490639,67415,3454,8500,55461
2020-03-27,593291,27198,130915,435178,63700,3228,8765,51707
2020-03-26,529591,23970,122150,383471,61938,2789,8363,50786
2020-03-25,467653,21181,113787,332685,49608,2556,5787,41265
2020-03-24,418045,18625,108000,291420,39810,2120,9649,28041
2020-03-23,378235,16505,98351,263379,41282,1854,452,38976
2020-03-22,336953,14651,97899,224403,32557,1678,6207,24672
2020-03-21,304396,12973,91692,199731,32361,1674,4272,26415
2020-03-20,272035,11299,87420,173316,29535,1432,2445,25658
2020-03-19,242500,9867,84975,147658,27679,1134,1663,24882
2020-03-18,214821,8733,83312,122776,17719,828,2472,14419
2020-03-17,197102,7905,80840,108357,15528,779,2752,11997
2020-03-16,181574,7126,78088,96360,14120,686,2054,11380
2020-03-15,167454,6440,76034,84980,11353,621,3410,7322
2020-03-14,156101,5819,72624,77658,10896,415,2373,8108
2020-03-13,145205,5404,70251,69550,16853,684,1927,14242
2020-03-12,128352,4720,68324,55308,2477,105,1321,1051
2020-03-11,125875,4615,67003,54257,7255,353,2599,4303
2020-03-10,118620,4262,64404,49954,5030,274,1910,2846
2020-03-09,113590,3988,62494,47108,3769,186,1800,1783
2020-03-08,109821,3802,60694,45325,3974,244,2336,1394
2020-03-07,105847,3558,58358,43931,4046,98,2493,1455
2020-03-06,101801,3460,55865,42476,3915,112,2069,1734
2020-03-05,97886,3348,53796,40742,2766,94,2626,46
2020-03-04,95120,3254,51170,40696,2280,94,2942,-756
2020-03-03,92840,3160,48228,41452,2534,75,2626,-167
2020-03-02,90306,3085,45602,41619,1937,89,2886,-1038
2020-03-01,88369,2996,42716,42657,2358,55,2934,-631
2020-02-29,86011,2941,39782,43288,1899,69,3071,-1241
2020-02-28,84112,2872,36711,44529,1366,58,3434,-2126
2020-02-27,82746,2814,33277,46655,1358,44,2893,-1579
2020-02-26,81388,2770,30384,48234,982,62,2479,-1559
2020-02-25,80406,2708,27905,49793,845,79,2678,-1912
2020-02-24,79561,2629,25227,51705,603,160,1833,-1390
2020-02-23,78958,2469,23394,53095,386,11,508,-133
2020-02-22,78572,2458,22886,53228,1753,207,3996,-2450
2020-02-21,76819,2251,18890,55678,622,4,713,-95
2020-02-20,76197,2247,18177,55773,558,125,2056,-1623
2020-02-19,75639,2122,16121,57396,503,115,1769,-1381
2020-02-18,75136,2007,14352,58777,1878,139,1769,-30
2020-02-17,73258,1868,12583,58807,2034,98,1718,218
2020-02-16,71224,1770,10865,58589,2194,104,1470,620
2020-02-15,69030,1666,9395,57969,2145,143,1337,665
2020-02-14,66885,1523,8058,57304,6517,152,1763,4602
2020-02-13,60368,1371,6295,52702,15147,253,1145,13749
2020-02-12,45221,1118,5150,38953,419,5,467,-53
2020-02-11,44802,1113,4683,39006,2040,100,737,1203
2020-02-10,42762,1013,3946,37803,2612,107,702,1803
2020-02-09,40150,906,3244,36000,3030,100,628,2302
2020-02-08,37120,806,2616,33698,2729,87,605,2037
2020-02-07,34391,719,2011,31661,3597,85,524,2988
2020-02-06,30794,634,1487,28673,3159,70,363,2726
2020-02-05,27635,564,1124,25947,3743,72,272,3399
2020-02-04,23892,492,852,22548,4011,66,229,3716
2020-02-03,19881,426,623,18832,3094,64,151,2879
2020-02-02,16787,362,472,15953,4749,103,188,4458
2020-02-01,12038,259,284,11495,2111,46,62,2003
2020-01-31,9927,213,222,9492,1693,42,79,1572
2020-01-30,8234,171,143,7920,2068,38,17,2013
2020-01-29,6166,133,126,5907,588,2,19,567
2020-01-28,5578,131,107,5340,2651,49,46,2556
2020-01-27,2927,82,61,2784,809,26,9,774
2020-01-26,2118,56,52,2010,684,14,13,657
2020-01-25,1434,42,39,1353,493,16,3,474
2020-01-24,941,26,36,879,287,8,6,273
2020-01-23,654,18,30,606,99,1,2,96
2020-01-22,555,17,28,510,0,0,0,0
