Country/Region,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
US,,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,-1.0,6.0,1.0,1.0,7.0,6.0,19.0,19.0,27.0,67.0,43.0,137.0,112.0,64.0,369.0,314.0,374.0,509.0,541.0,763.0,1106.0,1766.0,1264.0,5796.0,5353.0,6297.0,7675.0,10431.0,9574.0,11789.0,17471.0,17261.0,19173.0,17374.0,17431.0,24090.0,22866.0,28385.0,1813.0
Panama,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,16.0,9.0,7.0,12.0,14.0,17.0,23.0,28.0,63.0,111.0,29.0,-1.0,96.0,114.0,115.0,107.0,110.0,81.0,181.0,0.0,134.0,153.0
Argentina,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,3.0,0.0,5.0,2.0,0.0,11.0,2.0,11.0,11.0,10.0,11.0,17.0,31.0,29.0,108.0,35.0,35.0,-2.0,103.0,74.0,96.0,54.0,-85.0,218.0,-9.0,63.0,131.0
Japan,,0.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,4.0,5.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,-3.0,-5.0,2.0,-1.0,1.0,11.0,16.0,7.0,7.0,5.0,10.0,7.0,17.0,25.0,12.0,11.0,18.0,23.0,14.0,2.0,14.0,18.0,8.0,38.0,29.0,57.0,11.0,41.0,5.0,45.0,36.0,-1.0,59.0,69.0,66.0,-31.0,37.0,11.0,29.0,-6.0,1.0,85.0,26.0,14.0,87.0,29.0,66.0,190.0,151.0,0.0,85.0,176.0,312.0,121.0
Norway,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,9.0,4.0,6.0,7.0,24.0,31.0,21.0,39.0,29.0,28.0,195.0,198.0,104.0,294.0,91.0,131.0,112.0,130.0,84.0,195.0,168.0,204.0,267.0,233.0,235.0,219.0,285.0,381.0,255.0,267.0,149.0,188.0,217.0,259.0,71.0
New Zealand,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,8.0,8.0,11.0,13.0,50.0,0.0,41.0,40.0,73.0,75.0,70.0,56.0,68.0,47.0,52.0,80.0,60.0
Brazil,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,7.0,5.0,6.0,7.0,14.0,99.0,0.0,11.0,37.0,119.0,49.0,246.0,167.0,224.0,515.0,369.0,311.0,294.0,409.0,417.0,468.0,327.0,186.0,1089.0,1080.0,1124.0,19.0
Paraguay,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,4.0,4.0,0.0,4.0,9.0,4.0,10.0,4.0,3.0,5.0,1.0,4.0,7.0,14.0
Uruguay,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,21.0,21.0,29.0,15.0,16.0,48.0,4.0,0.0,27.0,28.0,21.0,36.0,29.0,6.0,-13.0,-1.0,-11.0,13.0
Bolivia,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,0.0,1.0,0.0,1.0,0.0,3.0,4.0,5.0,3.0,2.0,3.0,11.0,18.0,13.0,6.0,13.0,8.0,6.0,7.0,8.0
