Confirmed,Recovered,Deaths,Active
273,10,6,257
277,76,16,185
986,61,86,839
428,10,15,403
8,1,2,5
9,0,0,9
1265,256,37,972
663,33,7,623
5116,520,24,4572
11129,1749,158,9222
400,26,5,369
24,1,1,22
643,381,4,258
56,25,6,25
46,0,0,46
304,53,4,247
15348,2495,1011,11842
3,0,0,3
13,1,0,12
5,1,0,4
132,1,9,122
533,20,16,497
4,0,1,3
8066,127,327,7612
133,56,1,76
457,25,10,422
288,50,16,222
20,0,1,19
3,0,0,3
6,0,1,5
114,35,0,79
306,10,7,289
11284,1971,139,9174
8,0,0,8
8,0,0,8
3404,335,18,3051
81613,76567,3322,1724
1161,55,19,1087
22,2,2,18
134,3,13,118
396,6,2,388
194,15,1,178
1011,88,7,916
233,13,6,214
356,28,10,318
3858,67,44,3747
3573,1172,123,2278
712,619,11,82
40,0,0,40
12,0,0,12
1380,16,60,1304
3163,65,120,2978
865,201,58,606
46,0,2,44
15,1,0,14
22,0,0,22
858,45,11,802
9,0,0,9
29,3,0,26
7,0,0,7
1518,300,19,1199
59929,12548,5398,41983
21,0,1,20
4,2,1,1
134,26,0,108
84794,22440,1107,61247
204,31,5,168
1544,61,53,1430
10,0,0,10
47,12,1,34
52,0,0,52
9,0,0,9
19,0,4,15
18,1,0,17
7,0,0,7
222,3,15,204
802,147,4,651
585,42,21,522
1319,284,4,1031
2543,191,72,2280
1790,112,170,1508
50468,16711,3160,30597
772,202,54,516
3849,5,98,3746
6857,338,36,6483
115242,18278,13915,83049
47,2,3,42
2617,472,63,2082
299,45,5,249
435,27,3,405
110,4,3,103
10062,6021,174,3867
126,10,1,115
342,81,0,261
116,5,0,111
10,0,0,10
458,31,0,427
494,46,16,432
6,0,0,6
11,0,1,10
75,0,0,75
649,7,9,633
2487,80,30,2377
9,0,2,7
41,10,0,31
59,0,0,59
3,0,0,3
3116,767,50,2299
19,13,0,6
36,0,3,33
196,2,0,194
6,2,1,3
169,0,7,162
1510,633,50,827
505,23,6,476
60,2,1,57
14,2,0,12
144,0,2,142
708,31,44,633
10,0,0,10
14,3,0,11
6,1,0,5
14788,260,1341,13187
868,103,1,764
5,0,1,4
98,0,5,93
184,20,2,162
384,17,11,356
5218,32,50,5136
231,57,1,173
2421,125,34,2262
1475,9,37,1429
1,0,0,1
92,3,3,86
1414,537,55,822
2633,51,107,2475
2946,56,57,2833
9034,68,209,8757
949,72,3,874
2738,267,115,2356
3548,235,30,3283
84,0,0,84
9,0,0,9
13,1,0,12
2,1,0,1
245,21,30,194
1885,328,21,1536
195,55,1,139
1171,0,31,1140
10,0,0,10
2,0,0,2
1049,266,5,778
426,5,1,420
897,70,17,810
5,1,0,4
1462,50,5,1407
112065,26743,10348,74974
151,21,4,126
8,2,2,4
10,0,0,10
5568,103,308,5157
18827,4013,536,14278
16,0,2,14
339,45,5,289
20,2,1,17
1875,505,15,1355
1,0,0,1
39,17,2,20
97,1,6,90
455,5,14,436
18135,415,356,17364
245540,9148,6053,230339
45,0,0,45
897,19,22,856
1024,96,8,920
34173,192,2926,31055
369,68,4,297
205,25,2,178
146,43,5,98
233,75,0,158
161,18,1,142
39,0,1,38
9,0,1,8
