Country/Region,2020-03-30,2020-03-29,2020-03-28,2020-03-27,2020-03-26,2020-03-25,2020-03-24,2020-03-23,2020-03-22,2020-03-21,2020-03-20,2020-03-19,2020-03-18,2020-03-17,2020-03-16,2020-03-15,2020-03-14,2020-03-13,2020-03-12,2020-03-11,2020-03-10,2020-03-09,2020-03-08,2020-03-07,2020-03-06,2020-03-05,2020-03-04,2020-03-03,2020-03-02,2020-03-01,2020-02-29,2020-02-28,2020-02-27,2020-02-26,2020-02-25,2020-02-24,2020-02-23,2020-02-22,2020-02-21,2020-02-20,2020-02-19,2020-02-18,2020-02-17,2020-02-16,2020-02-15,2020-02-14,2020-02-13,2020-02-12,2020-02-11,2020-02-10,2020-02-09,2020-02-08,2020-02-07,2020-02-06,2020-02-05,2020-02-04,2020-02-03,2020-02-02,2020-02-01,2020-01-31,2020-01-30,2020-01-29,2020-01-28,2020-01-27,2020-01-26,2020-01-25,2020-01-24,2020-01-23,2020-01-22
US,20921.0,19408.0,19821.0,17821.0,18058.0,12038.0,9893.0,10571.0,7787.0,6389.0,5423.0,5894.0,1362.0,1789.0,1133.0,772.0,548.0,516.0,382.0,322.0,376.0,65.0,116.0,140.0,45.0,68.0,31.0,20.0,24.0,6.0,8.0,2.0,1.0,6.0,0.0,36.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,
Spain,7846.0,6875.0,7516.0,7933.0,8271.0,9630.0,4749.0,6368.0,3394.0,4964.0,2447.0,4053.0,2162.0,1806.0,2144.0,1407.0,1159.0,2955.0,0.0,582.0,622.0,400.0,173.0,100.0,141.0,37.0,57.0,45.0,36.0,39.0,13.0,17.0,2.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Germany,4790.0,4400.0,6824.0,6933.0,6615.0,4337.0,3930.0,4183.0,2660.0,2365.0,4528.0,2993.0,3070.0,1985.0,1477.0,1210.0,910.0,1597.0,170.0,451.0,281.0,136.0,241.0,129.0,188.0,220.0,66.0,37.0,29.0,51.0,31.0,2.0,19.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,
France,4462.0,2603.0,4703.0,3851.0,3951.0,2978.0,2499.0,3880.0,1780.0,1705.0,1788.0,1846.0,1409.0,1032.0,2151.0,36.0,815.0,1388.0,0.0,499.0,575.0,83.0,177.0,303.0,276.0,92.0,84.0,13.0,61.0,30.0,43.0,19.0,20.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,
Italy,4050.0,5217.0,5974.0,5909.0,6203.0,5210.0,5249.0,4789.0,5560.0,6557.0,5986.0,5322.0,4207.0,3526.0,3233.0,3590.0,3497.0,5198.0,0.0,2313.0,977.0,1797.0,1492.0,1247.0,778.0,769.0,587.0,466.0,342.0,566.0,240.0,233.0,202.0,131.0,93.0,74.0,93.0,42.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Iran,3186.0,2901.0,3076.0,2926.0,2389.0,2206.0,1762.0,1411.0,1028.0,966.0,1237.0,1046.0,1192.0,1178.0,1053.0,1209.0,1365.0,1289.0,1075.0,958.0,881.0,595.0,743.0,1076.0,1234.0,591.0,586.0,835.0,523.0,385.0,205.0,143.0,106.0,44.0,34.0,18.0,15.0,10.0,13.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
United Kingdom,2673.0,2468.0,2567.0,2933.0,2172.0,1476.0,1438.0,981.0,678.0,1053.0,1298.0,74.0,682.0,409.0,406.0,1.0,342.0,343.0,0.0,75.0,62.0,48.0,67.0,43.0,48.0,30.0,35.0,11.0,4.0,13.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Turkey,1610.0,1815.0,1704.0,2069.0,1196.0,561.0,343.0,293.0,566.0,311.0,167.0,94.0,51.0,29.0,12.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Canada,1118.0,704.0,894.0,640.0,791.0,461.0,702.0,619.0,192.0,334.0,143.0,143.0,179.0,63.0,163.0,54.0,5.0,76.0,9.0,29.0,2.0,13.0,10.0,5.0,12.0,4.0,3.0,3.0,3.0,4.0,6.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,
Switzerland,1093.0,753.0,1148.0,1117.0,914.0,1020.0,1082.0,1321.0,899.0,1281.0,1219.0,1047.0,328.0,500.0,0.0,841.0,220.0,487.0,0.0,161.0,117.0,37.0,69.0,54.0,100.0,24.0,34.0,14.0,15.0,9.0,10.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
