Name,Country,Source,Type,Unit,Adjustment,Ticker,Japanese
"Thailand, Coronavirus cases cumulative, Thailand, Volume",Thailand,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",THCOVD=ECI,タイ
"Japan, Coronavirus cases cumulative, Japan, Volume",Japan,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",JPCOVD=ECI,日本
"South Korea, Coronavirus cases cumulative, South Korea, Volume",South Korea,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",KRCOVD=ECI,韓国
"United States, Coronavirus cases cumulative, USA, Volume",United States,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",USCOVD=ECI,米国(WHO)
"Vietnam, Coronavirus cases cumulative, Vietnam, Volume",Vietnam,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",VNCOVD=ECI,ベトナム
"Singapore, Coronavirus cases cumulative, Singapore, Volume",Singapore,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",SGCOVD=ECI,シンガポール
"Nepal, Coronavirus cases cumulative, Nepal, Volume",Nepal,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",NPCOVD=ECI,ネパール
"France, Coronavirus cases cumulative, France, Volume",France,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",FRCOVD=ECI,フランス
"Malaysia, Coronavirus cases cumulative, Malaysia, Volume",Malaysia,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",MYCOVD=ECI,マレーシア
"Australia, Coronavirus cases cumulative, Australia, Volume",Australia,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",AUCOVD=ECI,オーストラリア
"Canada, Coronavirus cases cumulative, Canada, Volume",Canada,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",CACOVD=ECI,カナダ
"Germany, Coronavirus cases cumulative, Germany, Volume",Germany,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",DECOVD=ECI,ドイツ
"Cambodia, Coronavirus cases cumulative, Cambodia, Volume",Cambodia,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",KHCOVD=ECI,カンボジア
"Sri Lanka, Coronavirus cases cumulative, Sri Lanka, Volume",Sri Lanka,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",LKCOVD=ECI,スリランカ
"Kosovo, Coronavirus cases cumulative, Kosovo, Volume",Kosovo,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",XKCOVD=ECI,コソボ
"Philippines, Coronavirus cases cumulative, Philippines, Volume",Philippines,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",PHCOVD=ECI,フィリピン
"India, Coronavirus cases cumulative, India, Volume",India,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",INCOVD=ECI,インド
"Italy, Coronavirus cases cumulative, Italy, Volume",Italy,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",ITCOVD=ECI,イタリア
"United Kingdom, Coronavirus cases cumulative, The United Kingdom, Volume",United Kingdom,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",GBCOVD=ECI,イギリス
"Austria, Coronavirus cases cumulative, Austria, Volume",Austria,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",ATCOVD=ECI,オーストリア
"Croatia, Coronavirus cases cumulative, Croatia, Volume",Croatia,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",HRCOVD=ECI,クロアチア
"Israel, Coronavirus cases cumulative, Israel, Volume",Israel,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",ILCOVD=ECI,イスラエル
"Russia, Coronavirus cases cumulative, Russia, Volume",Russia,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",RUCOVD=ECI,ロシア連邦
"Spain, Coronavirus cases cumulative, Spain, Volume",Spain,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",ESCOVD=ECI,スペイン
"Belgium, Coronavirus cases cumulative, Belgium, Volume",Belgium,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",BECOVD=ECI,ベルギー
"Finland, Coronavirus cases cumulative, Finland, Volume",Finland,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",FICOVD=ECI,フィンランド
"Sweden, Coronavirus cases cumulative, Sweden, Volume",Sweden,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",SECOVD=ECI,スウェーデン
"Switzerland, Coronavirus cases cumulative, Switzerland, Volume",Switzerland,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",CHCOVD=ECI,スイス
"Iran, Coronavirus cases cumulative, Iran, Volume",Iran,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",IRCOVD=ECI,イラン
"Bahrain, Coronavirus cases cumulative, Bahrain, Volume",Bahrain,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",BHCOVD=ECI,バーレーン
"United Arab Emirates, Coronavirus cases cumulative, United Arab Emirates, Volume",United Arab Emirates,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",AECOVD=ECI,アラブ首長国連邦
"Kuwait, Coronavirus cases cumulative, Kuwait, Volume",Kuwait,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",KWCOVD=ECI,クウェート
"Iraq, Coronavirus cases cumulative, Iraq, Volume",Iraq,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",IQCOVD=ECI,イラク
"Oman, Coronavirus cases cumulative, Oman, Volume",Oman,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",OMCOVD=ECI,オマーン
"Afghanistan, Coronavirus cases cumulative, Afghanistan, Volume",Afghanistan,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",AFCOVD=ECI,アフガニスタン
"Egypt, Coronavirus cases cumulative, Egypt, Volume",Egypt,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",EGCOVD=ECI,エジプト
"Algeria, Coronavirus cases cumulative, Algeria, Volume",Algeria,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",DZCOVD=ECI,アルジェリア
"Japan, Coronavirus cases cumulative, Diamond Princess, Volume",Diamond Princess,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",JPCOVP=ECI,ダイヤモンド・プリンセス
"Lebanon, Coronavirus cases cumulative, Lebanon, Volume",Lebanon,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",LBCOVD=ECI,レバノン
"World, Coronavirus cases cumulative, Global, Volume",World,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",XWCOVD=ECI,世界
"New Zealand, Coronavirus cases cumulative, New Zealand, Volume",New Zealand,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",NZCOVD=ECI,ニュージーランド
"Norway, Coronavirus cases cumulative, Norway, Volume",Norway,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",NOCOVD=ECI,ノルウェー
"Netherlands, Coronavirus cases cumulative, Netherlands, Volume",Netherlands,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",NLCOVD=ECI,オランダ
"Iceland, Coronavirus cases cumulative, Iceland, Volume",Iceland,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",ISCOVD=ECI,アイスランド
"San Marino, Coronavirus cases cumulative, San Marino, Volume",San Marino,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",SMCOVD=ECI,サンマリノ
"Greece, Coronavirus cases cumulative, Greece, Volume",Greece,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",GRCOVD=ECI,ギリシャ
"Denmark, Coronavirus cases cumulative, Denmark, Volume",Denmark,World Health Organization (WHO),Population,Person,"Volume,not seasonally adjusted",DKCOVD=ECI,デンマーク
